#  , subDLAs (19.0 < logNHI < 20.3)                                          , DLAs (20.3 < logNHI < 22.0)
# z, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95
2.895000000000000018e+00 1.340000000000000045e-04 1.510000000000000112e-04 1.749999999999999982e-04 2.030000000000000012e-04 2.239999999999999966e-04 7.739999999999999485e-04 8.130000000000000291e-04 8.720000000000000537e-04 9.349999999999999587e-04 9.810000000000001011e-04
2.904999999999999805e+00 1.350000000000000017e-04 1.520000000000000084e-04 1.769999999999999926e-04 2.049999999999999956e-04 2.249999999999999938e-04 7.770000000000000214e-04 8.170000000000000179e-04 8.760000000000000425e-04 9.409999999999999962e-04 9.870000000000000301e-04
2.915000000000000036e+00 1.359999999999999989e-04 1.530000000000000056e-04 1.779999999999999898e-04 2.059999999999999928e-04 2.269999999999999882e-04 7.730000000000000326e-04 8.120000000000000048e-04 8.720000000000000537e-04 9.359999999999999831e-04 9.829999999999999329e-04
2.924999999999999822e+00 1.359999999999999989e-04 1.530000000000000056e-04 1.779999999999999898e-04 2.059999999999999928e-04 2.269999999999999882e-04 7.759999999999999971e-04 8.170000000000000179e-04 8.769999999999999584e-04 9.420000000000000205e-04 9.899999999999999946e-04
2.935000000000000053e+00 1.340000000000000045e-04 1.510000000000000112e-04 1.759999999999999954e-04 2.039999999999999984e-04 2.259999999999999910e-04 7.770000000000000214e-04 8.180000000000000422e-04 8.800000000000000313e-04 9.449999999999999850e-04 9.940000000000000918e-04
2.944999999999999840e+00 1.350000000000000017e-04 1.520000000000000084e-04 1.769999999999999926e-04 2.059999999999999928e-04 2.269999999999999882e-04 7.749999999999999728e-04 8.159999999999999936e-04 8.779999999999999827e-04 9.439999999999999607e-04 9.940000000000000918e-04
2.955000000000000071e+00 1.359999999999999989e-04 1.520000000000000084e-04 1.779999999999999898e-04 2.069999999999999900e-04 2.290000000000000098e-04 7.799999999999999859e-04 8.220000000000000310e-04 8.850000000000000444e-04 9.510000000000000224e-04 1.000000000000000021e-03
2.964999999999999858e+00 1.359999999999999989e-04 1.530000000000000056e-04 1.789999999999999870e-04 2.079999999999999872e-04 2.300000000000000070e-04 7.810000000000000102e-04 8.229999999999999469e-04 8.869999999999999846e-04 9.539999999999999869e-04 1.010000000000000047e-03
2.975000000000000089e+00 1.369999999999999961e-04 1.540000000000000028e-04 1.800000000000000113e-04 2.100000000000000087e-04 2.320000000000000014e-04 7.849999999999999990e-04 8.279999999999999600e-04 8.919999999999999978e-04 9.600000000000000243e-04 1.010000000000000047e-03
2.984999999999999876e+00 1.350000000000000017e-04 1.520000000000000084e-04 1.779999999999999898e-04 2.069999999999999900e-04 2.300000000000000070e-04 7.919999999999999523e-04 8.350000000000000217e-04 9.009999999999999997e-04 9.700000000000000505e-04 1.020000000000000073e-03
2.995000000000000107e+00 1.359999999999999989e-04 1.530000000000000056e-04 1.789999999999999870e-04 2.090000000000000115e-04 2.320000000000000014e-04 7.889999999999999878e-04 8.329999999999999731e-04 8.980000000000000352e-04 9.700000000000000505e-04 1.020000000000000073e-03
3.004999999999999893e+00 1.369999999999999961e-04 1.540000000000000028e-04 1.800000000000000113e-04 2.100000000000000087e-04 2.329999999999999986e-04 7.879999999999999635e-04 8.319999999999999488e-04 8.989999999999999511e-04 9.700000000000000505e-04 1.020000000000000073e-03
